chembl_id,assay_type,molregno_num,confidence_score
CHEMBL893786,B,34,0
CHEMBL892968,B,37,0
CHEMBL892969,B,37,0
CHEMBL893316,A,84,0
CHEMBL893762,P,35,0
CHEMBL894332,F,77,0
CHEMBL894327,F,78,0
CHEMBL896240,B,251,0
CHEMBL896241,B,253,0
CHEMBL896242,B,239,0
CHEMBL896289,F,48,0
CHEMBL895250,B,49,0
CHEMBL895372,P,72,0
CHEMBL895378,P,34,0
CHEMBL895379,B,36,0
CHEMBL897176,B,35,0
CHEMBL897511,B,45,0
CHEMBL897518,B,45,0
CHEMBL897521,B,45,0
CHEMBL897522,B,45,0
CHEMBL896308,B,47,0
CHEMBL896309,B,47,0
CHEMBL896486,B,44,0
CHEMBL896671,A,34,0
CHEMBL898325,B,37,0
CHEMBL896382,F,62,0
CHEMBL896383,F,62,0
CHEMBL896384,F,61,0
CHEMBL897797,A,64,0
CHEMBL897917,T,48,0
CHEMBL898016,B,49,0
CHEMBL899693,A,65,0
CHEMBL897621,B,43,0
CHEMBL898966,B,196,0
CHEMBL900551,F,61,0
CHEMBL900553,F,36,0
CHEMBL900564,F,39,0
CHEMBL899883,B,114,0
CHEMBL899098,B,216,0
CHEMBL900419,F,45,0
CHEMBL901485,F,46,0
CHEMBL901486,F,44,0
CHEMBL901487,F,44,0
CHEMBL902043,B,57,0
CHEMBL902044,B,57,0
CHEMBL902045,B,57,0
CHEMBL902042,B,57,0
CHEMBL902051,B,58,0
CHEMBL901438,P,45,0
CHEMBL902565,P,51,0
CHEMBL902608,F,35,0
CHEMBL902650,F,91,0
CHEMBL902990,A,68,0
CHEMBL903097,P,52,0
CHEMBL902097,B,42,0
CHEMBL902230,A,39,0
CHEMBL902497,B,35,0
CHEMBL902498,B,35,0
CHEMBL885421,B,45,0
CHEMBL885422,B,45,0
CHEMBL885423,B,45,0
CHEMBL885425,P,45,0
CHEMBL885751,B,40,0
CHEMBL885944,B,34,0
CHEMBL903456,B,55,0
CHEMBL886399,B,38,0
CHEMBL922938,A,55,0
CHEMBL922939,A,55,0
CHEMBL923281,B,68,0
CHEMBL923357,B,53,0
CHEMBL941842,F,41,0
CHEMBL940942,B,35,0
CHEMBL941031,F,39,0
CHEMBL924145,P,42,0
CHEMBL924444,B,55,0
CHEMBL924503,B,33,0
CHEMBL942787,P,44,0
CHEMBL942789,P,44,0
CHEMBL923874,B,48,0
CHEMBL924926,B,52,0
CHEMBL925051,P,68,0
CHEMBL925053,A,61,0
CHEMBL925055,B,46,0
CHEMBL943088,P,78,0
CHEMBL943089,P,67,0
CHEMBL927442,A,37,0
CHEMBL926633,A,44,0
CHEMBL944092,F,114,0
CHEMBL944093,F,90,0
CHEMBL928556,F,47,0
CHEMBL927756,B,34,0
CHEMBL944750,A,49,0
CHEMBL944757,B,40,0
CHEMBL944770,B,34,0
CHEMBL944853,B,161,0
CHEMBL944854,B,153,0
CHEMBL946047,B,38,0
CHEMBL946048,B,38,0
CHEMBL946049,B,38,0
CHEMBL928506,B,34,0
CHEMBL929668,F,39,0
CHEMBL932256,B,34,0
CHEMBL948903,F,33,0
CHEMBL946891,B,36,0
CHEMBL948184,B,82,0
CHEMBL945844,B,40,0
CHEMBL930539,B,72,0
CHEMBL945869,B,36,0
CHEMBL933166,F,58,0
CHEMBL931734,F,47,0
CHEMBL931735,F,55,0
CHEMBL931736,F,60,0
CHEMBL931737,F,61,0
CHEMBL931738,F,59,0
CHEMBL931739,F,60,0
CHEMBL931740,F,58,0
CHEMBL931741,F,55,0
CHEMBL931726,F,61,0
CHEMBL951916,B,43,0
CHEMBL935779,B,46,0
CHEMBL935780,B,34,0
CHEMBL935781,B,34,0
CHEMBL935782,B,34,0
CHEMBL935783,B,33,0
CHEMBL935784,B,33,0
CHEMBL930445,B,35,0
CHEMBL930451,B,33,0
CHEMBL936679,B,62,0
CHEMBL936681,A,61,0
CHEMBL937606,P,50,0
CHEMBL947229,B,90,0
CHEMBL931098,B,36,0
CHEMBL931104,B,36,0
CHEMBL931105,B,36,0
CHEMBL932043,F,36,0
CHEMBL933189,B,51,0
CHEMBL933445,B,53,0
CHEMBL933446,B,53,0
CHEMBL936578,B,46,0
CHEMBL936579,B,46,0
CHEMBL936124,B,36,0
CHEMBL936125,B,38,0
CHEMBL939999,B,79,0
CHEMBL932919,B,50,0
CHEMBL938429,B,58,0
CHEMBL934250,F,37,0
CHEMBL921114,B,46,0
CHEMBL928297,B,35,0
CHEMBL921413,B,37,0
CHEMBL923741,B,45,0
CHEMBL923744,B,45,0
CHEMBL921388,B,45,0
CHEMBL933590,B,45,0
CHEMBL933591,B,44,0
CHEMBL933608,B,40,0
CHEMBL925951,B,33,0
CHEMBL933685,B,41,0
CHEMBL933686,B,41,0
CHEMBL921447,B,34,0
CHEMBL1007797,A,34,0
CHEMBL961877,A,40,0
CHEMBL961878,F,40,0
CHEMBL961879,F,40,0
CHEMBL1015774,B,51,0
CHEMBL1015775,B,51,0
CHEMBL1018456,B,51,0
CHEMBL1018457,B,51,0
CHEMBL1017497,B,38,0
CHEMBL1019228,B,40,0
CHEMBL983788,F,48,0
CHEMBL991844,P,51,0
CHEMBL984747,B,39,0
CHEMBL948522,P,44,0
CHEMBL946370,A,35,0
CHEMBL949564,P,44,0
CHEMBL938674,B,34,0
CHEMBL938711,B,40,0
CHEMBL947247,B,51,0
CHEMBL942211,B,66,0
CHEMBL950421,B,41,0
CHEMBL940412,B,38,0
CHEMBL944268,B,44,0
CHEMBL938588,A,233,0
CHEMBL941166,B,37,0
CHEMBL941167,B,37,0
CHEMBL948427,B,34,0
CHEMBL948429,B,33,0
CHEMBL1007914,B,33,0
CHEMBL998488,B,42,0
CHEMBL999341,B,87,0
CHEMBL1008822,F,35,0
CHEMBL1005398,B,58,0
CHEMBL998577,B,70,0
CHEMBL999373,B,78,0
CHEMBL999387,P,34,0
CHEMBL995897,B,94,0
CHEMBL995898,B,108,0
CHEMBL995899,B,89,0
CHEMBL995900,B,109,0
CHEMBL995903,A,34,0
CHEMBL995904,A,34,0
CHEMBL1002986,B,37,0
CHEMBL1006271,A,38,0
CHEMBL1006272,T,38,0
CHEMBL1003006,B,73,0
CHEMBL1003765,B,42,0
CHEMBL1003683,B,33,0
CHEMBL1007072,A,48,0
CHEMBL1007074,B,48,0
CHEMBL1007077,B,48,0
CHEMBL979851,B,36,0
CHEMBL969645,P,34,0
CHEMBL969647,P,39,0
CHEMBL969648,P,39,0
CHEMBL969649,P,39,0
CHEMBL1021071,B,36,0
CHEMBL1021922,F,34,0
CHEMBL968773,B,36,0
CHEMBL1017607,B,64,0
CHEMBL987707,A,42,0
CHEMBL988567,B,56,0
CHEMBL988568,B,56,0
CHEMBL988575,P,38,0
CHEMBL985914,B,58,0
CHEMBL993794,B,35,0
CHEMBL943598,B,57,0
CHEMBL943460,F,43,0
CHEMBL943461,A,43,0
CHEMBL952560,B,35,0
CHEMBL952561,B,36,0
